State,County,FIPS,,,Social Vulnerability PCT,"Extreme Events (Wildfires, Floodings, Storms) PCT",Labor Availability PCT,Water Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Land Cost,State Project Enablement Index PCT,Long-Haul Fiber Optics Presence,,,Total Score,,,Total Score PCT,,,,,,
,,,,Source,"ATM
https://climatevulnerabilityindex.org/","ATM
https://climatevulnerabilityindex.org/",Bureau of Labor Statistics,"Multiple: US Census Bureau, USGS","NETL and EPA
0.1 if EOR
0.15 if only carbon pipeline
0.4 if only primacy
0.9 else",Berkeley Lab,USDA (https://www.ers.usda.gov/data-products/charts-of-note/chart-detail?chartId=109375),"CNBC
America’s Top States for Business 2025 without columns education, cost of life, quality of life
https://www.cnbc.com/2025/07/10/top-states-for-business-americas-2025-the-full-rankings.html","ITU (https://bbmaps.itu.int/bbmaps/)
0.05 = presence of LHFO in the county
0.95 = absence of LHFO in the county",,,,,,,,,,,,
,,,,Normalized Weights,2.22%,12.22%,4.44%,8.89%,15.56%,20.00%,6.67%,13.33%,16.67%,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,State,County,Siting Readiness PCT,Weighted Best Performance,Weighted 2nd Best Performance,Weighted 3rd Best Performance,Weighted Worst Performance,Weighted 2nd Worst Performance,Weighted 3rd Worst Performance
AL, Autauga,01001,,,0.573,0.308,0.281,0.604,0.1,0.448666667,0.03214152,0.38,0.05,,,0.282987212,AL, Autauga,0.068,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Interconnection Queue,Water Availability PCT,State Project Enablement Index PCT
AL, Baldwin,01003,,,0.634,0.994,0.219,0.564,0.1,0.448666667,0.049301438,0.38,0.05,,,0.363020096,AL, Baldwin,0.232,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,"Extreme Events (Wildfires, Floodings, Storms) PCT",Interconnection Queue,State Project Enablement Index PCT
AL, Barbour,01005,,,0.941,0.368,0.685,0.613,0.9,0.448666667,0.032025474,0.38,0.95,,,0.591690587,AL, Barbour,0.83,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Bibb,01007,,,0.754,0.655,0.596,0.567,0.9,0.448666667,0.03198874,0.38,0.95,,,0.614565916,AL, Bibb,0.882,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Blount,01009,,,0.862,0.643,0.313,0.615,0.9,0.448666667,0.044293411,0.38,0.05,,,0.45800845,AL, Blount,0.496,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Bullock,01011,,,0.968,0.468,0.757,0.664,0.9,0.448666667,0.029747856,0.38,0.95,,,0.612094302,AL, Bullock,0.878,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
